 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF77430F0EEh: <%167> = 166 | \hA6 | \d166
 00007FF77430F0EEh: <%168> = 167 | \hA7 | \d167
 00007FF77430F0EEh: <%169> = 168 | \hA8 | \d168
 00007FF77430F0EEh: <%170> = 169 | \hA9 | \d169
 00007FF77430F0EEh: <%171> = 170 | \hAA | \d170
 00007FF77430F0EEh: <%172> = 171 | \hAB | \d171
 00007FF77430F0EEh: <%173> = 172 | \hAC | \d172
 00007FF77430F0EEh: <%174> = 173 | \hAD | \d173
 00007FF77430F0EEh: <%175> = 174 | \hAE | \d174
 00007FF77430F0EEh: <%176> = 175 | \hAF | \d175
 00007FF77430F0EEh: <%177> = 176 | \hB0 | \d176
 00007FF77430F0EEh: <%178> = 177 | \hB1 | \d177
 00007FF77430F0EEh: <%179> = 178 | \hB2 | \d178
 00007FF77430F0EEh: <%180> = 179 | \hB3 | \d179
 00007FF77430F0EEh: <%181> = 180 | \hB4 | \d180
 00007FF77430F0EEh: <%182> = 181 | \hB5 | \d181
 00007FF77430F0EEh: <%183> = 182 | \hB6 | \d182
 00007FF77430F0EEh: <%184> = 183 | \hB7 | \d183
 00007FF77430F0EEh: <%185> = 184 | \hB8 | \d184
 00007FF77430F0EEh: <%186> = 185 | \hB9 | \d185
 00007FF77430F0EEh: <%187> = 186 | \hBA | \d186
 00007FF77430F0EEh: <%188> = 187 | \hBB | \d187
 00007FF77430F0EEh: <%189> = 188 | \hBC | \d188
 00007FF77430F0EEh: <%190> = 189 | \hBD | \d189
 00007FF77430F0EEh: <%191> = 190 | \hBE | \d190
 00007FF77430F0EEh: <%192> = 191 | \hBF | \d191
 00007FF77430F0EEh: <%193> = 192 | \hC0 | \d192
 00007FF77430F0EEh: <%194> = 193 | \hC1 | \d193
 00007FF77430F0EEh: <%195> = 194 | \hC2 | \d194
 00007FF77430F0EEh: <%196> = 195 | \hC3 | \d195
 00007FF77430F0EEh: <%197> = 196 | \hC4 | \d196
 00007FF77430F0EEh: <%198> = 197 | \hC5 | \d197
 00007FF77430F0EEh: <%199> = 198 | \hC6 | \d198
 00007FF77430F0EEh: <%200> = 199 | \hC7 | \d199
 00007FF77430F0EEh: <%201> = 200 | \hC8 | \d200
 00007FF77430F0EEh: <%202> = 201 | \hC9 | \d201
 00007FF77430F0EEh: <%203> = 202 | \hCA | \d202
